"TimeCreated","BugcheckCode","Message"
"2026-02-14 21:57:03","0x00000101","The computer has rebooted from a bugcheck.  The bugcheck was: 0x00000101 (0x0000000000000006, 0x0000000000000000, 0xffffe080112de180, 0x0000000000000001). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: 25380384-8611-417b-a2de-59f64044bf81."
"2026-02-15 01:45:14","0x00000050","The computer has rebooted from a bugcheck.  The bugcheck was: 0x00000050 (0xfffffc8b086be010, 0x0000000000000011, 0xfffffc8b086be010, 0x0000000000000002). A dump was saved in: C:\WINDOWS\Minidump\021526-11312-01.dmp. Report Id: 36553f04-a5f6-4805-951d-c49c47f95630."
"2026-02-16 01:27:37","0x0000007f","The computer has rebooted from a bugcheck.  The bugcheck was: 0x0000007f (0x0000000000000008, 0xfffff8042956ae70, 0xfffff80429563f80, 0xfffff804972c9450). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: 32b7b27f-2246-4842-b5e1-77477b7cc9f7."
"2026-02-16 02:04:23","0x0000007f","The computer has rebooted from a bugcheck.  The bugcheck was: 0x0000007f (0x0000000000000008, 0xfffff804620fae70, 0xffffc28e04f90fe0, 0xfffff804cfe59739). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: 748855a9-bec3-4ec3-990e-48cfb9ea1780."
"2026-02-16 20:08:02","0x000001ca","The computer has rebooted from a bugcheck.  The bugcheck was: 0x000001ca (0x000000000822aea7, 0x00000018466d3927, 0x00000018467046f3, 0x0000000000000000). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: 2c4d011c-bce0-44ba-a877-d203a0cd21ca."
"2026-02-17 03:41:21","0x000001ca","The computer has rebooted from a bugcheck.  The bugcheck was: 0x000001ca (0x000000001cefd896, 0x0000003f377c4391, 0x0000003f377f515e, 0x0000000000000001). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: 00cf941c-7dfc-4ce4-8b75-25324085fe5e."
"2026-02-17 04:31:30","0x000001aa","The computer has rebooted from a bugcheck.  The bugcheck was: 0x000001aa (0xfffff804561dae70, 0x0000000000000003, 0xfffff804561da440, 0xfffff804561dac38). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: e9c6a1d7-72ae-4ede-a671-13d82e1b2378."
"2026-02-17 05:50:50","0x0000007f","The computer has rebooted from a bugcheck.  The bugcheck was: 0x0000007f (0x0000000000000008, 0xffffd7819fd60e70, 0xffffab06fbf50fa8, 0xfffff8008d5994b4). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: ebe3e650-e1c3-43c5-bd95-633c5e374311."
"2026-02-17 16:46:42","0x0000003b","The computer has rebooted from a bugcheck.  The bugcheck was: 0x0000003b (0x00000000c000001d, 0xfffff807770ef592, 0xfffff807097428f0, 0x0000000000000000). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: 370044f8-9640-483e-9875-08f2ce248fa3."
"2026-02-17 20:05:52","0x0000007f","The computer has rebooted from a bugcheck.  The bugcheck was: 0x0000007f (0x0000000000000008, 0xffffcb80b3d60e70, 0xffffb706d3501008, 0xfffff806bef5c1d0). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: cfe56673-89ea-40c4-b73f-7796bf7de13b."
"2026-02-17 20:16:14","0x00000050","The computer has rebooted from a bugcheck.  The bugcheck was: 0x00000050 (0xffffffffffffff89, 0x0000000000000002, 0xfffff807532c6698, 0x0000000000000002). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: ba1ed11b-b8b3-4a2c-8829-2ae6e6e23b07."
"2026-02-17 20:22:44","0x0000003b","The computer has rebooted from a bugcheck.  The bugcheck was: 0x0000003b (0x00000000c0000005, 0xfffff8074cd9b664, 0xffffbb8bfae36b40, 0x0000000000000000). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: 025a1ddb-0209-43d4-a52a-fc75022b47d0."
"2026-02-17 20:39:37","0x00020001","The computer has rebooted from a bugcheck.  The bugcheck was: 0x00020001 (0x0000000000000011, 0x00000000003a8ffc, 0x0000000000001004, 0xffffe70000205cf0). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: a45edecd-063c-4ed4-8ffa-4f3862b2a890."
"2026-02-17 21:12:46","0x0000000a","The computer has rebooted from a bugcheck.  The bugcheck was: 0x0000000a (0x0000000000000184, 0x00000000000000ff, 0x0000000000000000, 0xfffff800d23c81a5). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: c5df232c-85b8-42fc-87d9-3e30a5e425b5."
"2026-02-19 04:46:59","0x00020001","The computer has rebooted from a bugcheck.  The bugcheck was: 0x00020001 (0x0000000000000011, 0x000000000021f24f, 0x0000000000001007, 0xffffe8000052df00). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: 65fe70ea-8d80-445f-939a-eb4efed86f8b."
"2026-02-20 20:07:37","0x00000050","The computer has rebooted from a bugcheck.  The bugcheck was: 0x00000050 (0xfffff8004e2d7e4d, 0x0000000000000010, 0xfffff8004e2d7e4d, 0x0000000000000002). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: 7834272c-2069-481d-9611-fbd4b93e7600."
"2026-02-21 02:22:53","0x0000007f","The computer has rebooted from a bugcheck.  The bugcheck was: 0x0000007f (0x0000000000000008, 0xffff940008960e70, 0xffffec8b48b43ef0, 0xfffff805a37f9450). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: c1f33ddb-826a-44d2-88e5-744bb823e371."
"2026-02-21 05:40:12","0x00000050","The computer has rebooted from a bugcheck.  The bugcheck was: 0x00000050 (0xfffff8008d437e4d, 0x0000000000000010, 0xfffff8008d437e4d, 0x0000000000000002). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: f491a806-51b7-4b25-87ae-aee45af0c4c9."
"2026-02-24 01:45:30","0x0000000a","The computer has rebooted from a bugcheck.  The bugcheck was: 0x0000000a (0x00003974030f3418, 0x00000000000000ff, 0x000000000000001a, 0xfffff803eb8294c0). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: 590e7ef8-c67d-4fae-b5ea-756905dbbe6d."
"2026-02-28 03:53:09","0x000001ca","The computer has rebooted from a bugcheck.  The bugcheck was: 0x000001ca (0x000000001bbaec1d, 0x00000005111b5aa3, 0x00000005111e6880, 0x0000000000000001). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: 9e3d8630-3349-4733-a63d-6e20db09790f."
"2026-03-05 20:45:55","0x0000007f","The computer has rebooted from a bugcheck.  The bugcheck was: 0x0000007f (0x0000000000000008, 0xffffba0101bece70, 0xffffcb8784531010, 0xfffff803d0e9944f). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: f4128b00-ef17-4ddd-82cb-0fdf17263618."
"2026-03-05 21:19:18","0x0000000a","The computer has rebooted from a bugcheck.  The bugcheck was: 0x0000000a (0x00007fffffff0000, 0x00000000000000ff, 0x00000000000000a0, 0xfffff804e7bd24f6). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: 318864b6-585a-43a6-be0c-7f0939f82a3f."
"2026-03-06 09:26:57","0x00000139","The computer has rebooted from a bugcheck.  The bugcheck was: 0x00000139 (0x0000000000000002, 0xffffd28591156210, 0xffffd28591156168, 0x0000000000000000). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: 4ffcde2b-9628-4620-bf06-27a7671d62fc."
"2026-03-07 04:45:06","0x0000007f","The computer has rebooted from a bugcheck.  The bugcheck was: 0x0000007f (0x0000000000000008, 0xffffa30038fece70, 0xfffff38e19ad9020, 0xfffff801730a9442). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: 5659bc9c-00e8-4731-ba73-ff7323ae3f84."
"2026-03-07 07:55:57","0x0000007f","The computer has rebooted from a bugcheck.  The bugcheck was: 0x0000007f (0x0000000000000008, 0xfffff80330e2ae70, 0xffffd307ddc40ed0, 0xfffff8039eb89450). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: 7b76fae2-f911-4d9f-8c7e-a40f5762d027."
"2026-03-09 00:34:12","0x000000d1","The computer has rebooted from a bugcheck.  The bugcheck was: 0x000000d1 (0x0000015487331d5f, 0x00000000000000ff, 0x0000000000000000, 0x0000015487331d5f). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: 871433d9-0060-490e-a3fa-ba16638236c2."
"2026-03-10 04:53:23","0x0000007f","The computer has rebooted from a bugcheck.  The bugcheck was: 0x0000007f (0x0000000000000008, 0xffffaa80ac1ece70, 0xffffa68d572c0fa0, 0xfffff804f08040b1). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: 20dfb2e4-6f0b-46c8-b132-89c3c53e5712."
"2026-03-11 21:14:56","0x0000001e","The computer has rebooted from a bugcheck.  The bugcheck was: 0x0000001e (0xffffffffc0000005, 0x0000000000000000, 0x0000000000000008, 0x0000000000000000). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: 272f2e90-8612-4385-bdfb-abe9973a443a."
"2026-03-11 21:16:49","0x00000050","The computer has rebooted from a bugcheck.  The bugcheck was: 0x00000050 (0xfffff80596492e50, 0x0000000000000010, 0xfffff80516492e50, 0x0000000000000002). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: f6161fc2-49f8-439d-b6ab-377ddbed0f11."
"2026-03-11 21:50:38","0x00000050","The computer has rebooted from a bugcheck.  The bugcheck was: 0x00000050 (0xfffff801e3462e50, 0x0000000000000010, 0xfffff80141462e50, 0x0000000000000002). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: df134973-cefc-431f-ac60-1b3dea4a1423."
"2026-03-11 22:30:20","0x00000050","The computer has rebooted from a bugcheck.  The bugcheck was: 0x00000050 (0xfffff803d2ad2e50, 0x0000000000000010, 0xfffff80352ad2e50, 0x0000000000000002). A dump was saved in: C:\WINDOWS\MEMORY.DMP. Report Id: ae431569-351e-45d7-abd2-e7804379494b."
