"TimeCreated","Provider","Id","Level","Message"
"2026-02-15 01:45:07","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-16 01:27:23","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-16 02:04:14","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-16 02:50:12","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-16 20:07:54","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-17 03:41:12","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-17 04:31:22","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-17 04:37:43","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-17 05:50:43","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-17 16:46:35","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-17 20:05:44","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-17 20:16:06","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-17 20:22:36","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-17 20:39:29","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-17 21:12:38","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-18 04:05:10","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-19 04:46:50","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-20 20:07:30","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-21 02:22:46","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-21 05:40:04","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-24 01:45:16","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-26 07:43:46","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-27 20:11:17","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-27 20:20:12","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-27 21:18:50","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-27 21:22:34","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-28 03:16:28","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-28 03:53:01","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-02-28 16:08:45","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-03-05 20:45:44","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-03-05 21:19:08","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-03-06 09:26:49","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-03-07 04:44:57","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-03-07 07:55:48","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-03-09 00:34:02","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-03-10 04:53:15","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-03-10 06:15:34","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-03-11 21:14:44","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-03-11 21:16:39","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-03-11 21:50:29","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
"2026-03-11 22:30:11","Microsoft-Windows-Kernel-Power","41","Critical","The system has rebooted without cleanly shutting down first. This error could be caused if the system stopped responding, crashed, or lost power unexpectedly."
